listing_id,date,price,availability,hotel_name,city,state,neighbourhood,star_rating,total_rooms,available_rooms,room_type,amenities
HTL10000,2025-12-01,320.29,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,113,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-02,278.04,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,134,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-03,318.76,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,91,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-04,302.9,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,129,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-05,343.52,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,134,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-06,363.71,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,124,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-07,355.3,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,122,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-08,356.25,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,105,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-09,379.13,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,100,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-10,384.92,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,134,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-11,267.37,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,96,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-12,434.65,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,4,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-13,358.87,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,106,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-14,328.38,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,133,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-15,327.43,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,116,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-16,397.88,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,108,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-17,431.76,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,2,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-18,418.19,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,137,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-19,412.09,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,111,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-20,351.91,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,124,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-21,403.28,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,117,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-22,408.07,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,113,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-23,360.07,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,2,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-24,310.29,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,88,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-25,415.57,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,126,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-26,440.58,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,128,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-27,377.21,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,2,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-28,305.9,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,87,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-29,308.94,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,103,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10000,2025-12-30,319.55,1,Grand Hotel San Francisco,San Francisco,CA,Waterfront,5,145,126,Standard,Hot tub|Kitchen|Parking|Near transit|Air conditioning
HTL10001,2025-12-01,409.93,1,Summit Hotel New York,New York,NY,Downtown,4,101,2,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-02,348.71,1,Summit Hotel New York,New York,NY,Downtown,4,101,64,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-03,343.98,1,Summit Hotel New York,New York,NY,Downtown,4,101,95,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-04,413.01,1,Summit Hotel New York,New York,NY,Downtown,4,101,85,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-05,372.97,1,Summit Hotel New York,New York,NY,Downtown,4,101,73,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-06,268.25,1,Summit Hotel New York,New York,NY,Downtown,4,101,85,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-07,291.81,1,Summit Hotel New York,New York,NY,Downtown,4,101,4,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-08,366.36,1,Summit Hotel New York,New York,NY,Downtown,4,101,93,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-09,402.8,1,Summit Hotel New York,New York,NY,Downtown,4,101,74,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-10,303.64,1,Summit Hotel New York,New York,NY,Downtown,4,101,69,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-11,376.65,1,Summit Hotel New York,New York,NY,Downtown,4,101,92,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-12,312.54,1,Summit Hotel New York,New York,NY,Downtown,4,101,2,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-13,434.78,1,Summit Hotel New York,New York,NY,Downtown,4,101,62,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-14,402.57,1,Summit Hotel New York,New York,NY,Downtown,4,101,70,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-15,264.08,1,Summit Hotel New York,New York,NY,Downtown,4,101,5,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-16,306.73,1,Summit Hotel New York,New York,NY,Downtown,4,101,68,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-17,403.77,1,Summit Hotel New York,New York,NY,Downtown,4,101,76,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-18,271.97,1,Summit Hotel New York,New York,NY,Downtown,4,101,62,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-19,403.25,1,Summit Hotel New York,New York,NY,Downtown,4,101,68,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-20,427.9,1,Summit Hotel New York,New York,NY,Downtown,4,101,64,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-21,307.58,1,Summit Hotel New York,New York,NY,Downtown,4,101,79,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-22,360.54,1,Summit Hotel New York,New York,NY,Downtown,4,101,3,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
HTL10001,2025-12-23,360.1,1,Summit Hotel New York,New York,NY,Downtown,4,101,4,Deluxe,Workspace|Gym|WiFi|Breakfast|Near transit|Parking
