flight_id,date,airline,origin,origin_city,dest,dest_city,departure_time,arrival_time,duration,stops,flight_class,price,total_seats,available_seats
FLT1000-20251201-0,2025-12-01,American,ORD,Chicago,LAS,Las Vegas,19:59,22:09,218,1,Economy,916.51,180,143
FLT1000-20251201-1,2025-12-01,American,ORD,Chicago,LAS,Las Vegas,12:21,15:58,218,1,Economy,609.15,220,2
FLT1000-20251201-2,2025-12-01,American,ORD,Chicago,LAS,Las Vegas,06:22,09:39,218,1,Economy,896.76,180,129
FLT1000-20251201-3,2025-12-01,American,ORD,Chicago,LAS,Las Vegas,06:56,09:01,218,1,Economy,638.43,150,98
FLT1000-20251201-4,2025-12-01,American,ORD,Chicago,LAS,Las Vegas,11:39,14:16,218,1,Economy,632.76,250,48
FLT1000-20251202-0,2025-12-02,American,ORD,Chicago,LAS,Las Vegas,19:43,22:33,218,1,Economy,575.15,150,83
FLT1000-20251202-1,2025-12-02,American,ORD,Chicago,LAS,Las Vegas,17:24,20:53,218,1,Economy,849.96,220,57
FLT1000-20251202-2,2025-12-02,American,ORD,Chicago,LAS,Las Vegas,22:37,01:55,218,1,Economy,602.5,180,136
FLT1000-20251203-0,2025-12-03,American,ORD,Chicago,LAS,Las Vegas,20:56,23:11,218,1,Economy,655.9,150,66
FLT1000-20251203-1,2025-12-03,American,ORD,Chicago,LAS,Las Vegas,11:20,14:54,218,1,Economy,844.33,250,178
FLT1000-20251203-2,2025-12-03,American,ORD,Chicago,LAS,Las Vegas,13:37,16:31,218,1,Economy,701.66,250,53
FLT1000-20251203-3,2025-12-03,American,ORD,Chicago,LAS,Las Vegas,06:01,09:34,218,1,Economy,741.03,220,72
FLT1000-20251203-4,2025-12-03,American,ORD,Chicago,LAS,Las Vegas,09:03,12:00,218,1,Economy,830.37,220,89
FLT1000-20251204-0,2025-12-04,American,ORD,Chicago,LAS,Las Vegas,09:21,12:49,218,1,Economy,800.87,180,54
FLT1000-20251204-1,2025-12-04,American,ORD,Chicago,LAS,Las Vegas,07:03,10:17,218,1,Economy,600.38,250,36
FLT1000-20251204-2,2025-12-04,American,ORD,Chicago,LAS,Las Vegas,20:58,23:59,218,1,Economy,758.21,250,9
FLT1000-20251205-0,2025-12-05,American,ORD,Chicago,LAS,Las Vegas,16:53,19:37,218,1,Economy,862.8,250,183
FLT1000-20251205-1,2025-12-05,American,ORD,Chicago,LAS,Las Vegas,19:07,22:45,218,1,Economy,950.64,150,65
FLT1000-20251206-0,2025-12-06,American,ORD,Chicago,LAS,Las Vegas,16:45,19:17,218,1,Economy,907.82,250,62
FLT1000-20251206-1,2025-12-06,American,ORD,Chicago,LAS,Las Vegas,21:37,00:49,218,1,Economy,868.72,180,46
FLT1000-20251206-2,2025-12-06,American,ORD,Chicago,LAS,Las Vegas,09:49,12:36,218,1,Economy,652.39,250,64
FLT1000-20251206-3,2025-12-06,American,ORD,Chicago,LAS,Las Vegas,15:36,18:12,218,1,Economy,867.28,220,138
FLT1000-20251206-4,2025-12-06,American,ORD,Chicago,LAS,Las Vegas,19:11,22:07,218,1,Economy,828.97,220,113
FLT1000-20251207-0,2025-12-07,American,ORD,Chicago,LAS,Las Vegas,06:33,09:42,218,1,Economy,711.34,180,6
FLT1000-20251207-1,2025-12-07,American,ORD,Chicago,LAS,Las Vegas,11:25,14:25,218,1,Economy,704.18,220,91
FLT1000-20251207-2,2025-12-07,American,ORD,Chicago,LAS,Las Vegas,20:47,23:54,218,1,Economy,919.81,180,44
FLT1000-20251207-3,2025-12-07,American,ORD,Chicago,LAS,Las Vegas,11:03,14:04,218,1,Economy,638.73,180,123
FLT1000-20251207-4,2025-12-07,American,ORD,Chicago,LAS,Las Vegas,08:44,11:49,218,1,Economy,921.36,180,108
FLT1000-20251208-0,2025-12-08,American,ORD,Chicago,LAS,Las Vegas,08:18,11:51,218,1,Economy,767.27,180,2
FLT1000-20251208-1,2025-12-08,American,ORD,Chicago,LAS,Las Vegas,07:10,10:50,218,1,Economy,580.91,250,131
FLT1000-20251209-0,2025-12-09,American,ORD,Chicago,LAS,Las Vegas,07:00,10:26,218,1,Economy,948.78,180,81
FLT1000-20251209-1,2025-12-09,American,ORD,Chicago,LAS,Las Vegas,14:23,17:00,218,1,Economy,943.44,180,81
FLT1000-20251209-2,2025-12-09,American,ORD,Chicago,LAS,Las Vegas,12:20,15:25,218,1,Economy,600.26,220,63
FLT1000-20251209-3,2025-12-09,American,ORD,Chicago,LAS,Las Vegas,19:54,22:52,218,1,Economy,736.69,150,57
FLT1000-20251210-0,2025-12-10,American,ORD,Chicago,LAS,Las Vegas,13:48,16:51,218,1,Economy,626.57,250,164
FLT1000-20251210-1,2025-12-10,American,ORD,Chicago,LAS,Las Vegas,22:23,01:34,218,1,Economy,943.53,220,128
FLT1000-20251210-2,2025-12-10,American,ORD,Chicago,LAS,Las Vegas,18:22,21:13,218,1,Economy,941.24,180,127
FLT1000-20251210-3,2025-12-10,American,ORD,Chicago,LAS,Las Vegas,21:01,00:51,218,1,Economy,611.16,180,32
FLT1000-20251210-4,2025-12-10,American,ORD,Chicago,LAS,Las Vegas,19:14,22:12,218,1,Economy,915.05,150,60
FLT1000-20251211-0,2025-12-11,American,ORD,Chicago,LAS,Las Vegas,06:37,09:41,218,1,Economy,944.3,220,64
FLT1000-20251211-1,2025-12-11,American,ORD,Chicago,LAS,Las Vegas,10:51,13:48,218,1,Economy,588.5,250,130
FLT1000-20251212-0,2025-12-12,American,ORD,Chicago,LAS,Las Vegas,10:38,13:48,218,1,Economy,705.13,220,84
FLT1000-20251212-1,2025-12-12,American,ORD,Chicago,LAS,Las Vegas,10:14,13:11,218,1,Economy,598.37,180,2
FLT1000-20251212-2,2025-12-12,American,ORD,Chicago,LAS,Las Vegas,17:06,20:46,218,1,Economy,898.58,220,36
FLT1000-20251212-3,2025-12-12,American,ORD,Chicago,LAS,Las Vegas,08:31,11:28,218,1,Economy,731.14,150,70
FLT1000-20251213-0,2025-12-13,American,ORD,Chicago,LAS,Las Vegas,06:22,09:50,218,1,Economy,946.56,250,136
FLT1000-20251213-1,2025-12-13,American,ORD,Chicago,LAS,Las Vegas,21:14,00:01,218,1,Economy,690.1,250,150
FLT1000-20251213-2,2025-12-13,American,ORD,Chicago,LAS,Las Vegas,09:49,12:05,218,1,Economy,761.89,220,140
FLT1000-20251213-3,2025-12-13,American,ORD,Chicago,LAS,Las Vegas,07:12,10:44,218,1,Economy,935.97,180,110
FLT1000-20251213-4,2025-12-13,American,ORD,Chicago,LAS,Las Vegas,22:19,01:29,218,1,Economy,604.14,150,98
FLT1000-20251214-0,2025-12-14,American,ORD,Chicago,LAS,Las Vegas,06:18,09:18,218,1,Economy,584.24,150,45
FLT1000-20251214-1,2025-12-14,American,ORD,Chicago,LAS,Las Vegas,18:46,21:16,218,1,Economy,748.62,180,94
FLT1000-20251215-0,2025-12-15,American,ORD,Chicago,LAS,Las Vegas,10:37,13:12,218,1,Economy,896.6,220,77
FLT1000-20251215-1,2025-12-15,American,ORD,Chicago,LAS,Las Vegas,16:30,19:39,218,1,Economy,639.06,220,6
FLT1000-20251216-0,2025-12-16,American,ORD,Chicago,LAS,Las Vegas,07:10,10:42,218,1,Economy,661.06,220,93
FLT1000-20251216-1,2025-12-16,American,ORD,Chicago,LAS,Las Vegas,11:12,14:48,218,1,Economy,840.57,220,3
FLT1000-20251217-0,2025-12-17,American,ORD,Chicago,LAS,Las Vegas,12:13,15:38,218,1,Economy,731.11,180,62
FLT1000-20251217-1,2025-12-17,American,ORD,Chicago,LAS,Las Vegas,19:39,22:16,218,1,Economy,823.96,150,34
FLT1000-20251218-0,2025-12-18,American,ORD,Chicago,LAS,Las Vegas,09:38,12:41,218,1,Economy,857.58,180,131
FLT1000-20251218-1,2025-12-18,American,ORD,Chicago,LAS,Las Vegas,16:55,19:20,218,1,Economy,583.84,180,104
FLT1000-20251218-2,2025-12-18,American,ORD,Chicago,LAS,Las Vegas,12:36,15:43,218,1,Economy,889.02,250,184
FLT1000-20251218-3,2025-12-18,American,ORD,Chicago,LAS,Las Vegas,18:58,21:53,218,1,Economy,874.27,150,31
FLT1000-20251219-0,2025-12-19,American,ORD,Chicago,LAS,Las Vegas,16:00,19:10,218,1,Economy,608.25,150,37
FLT1000-20251219-1,2025-12-19,American,ORD,Chicago,LAS,Las Vegas,08:14,11:03,218,1,Economy,733.04,220,64
FLT1000-20251220-0,2025-12-20,American,ORD,Chicago,LAS,Las Vegas,12:34,15:28,218,1,Economy,859.83,180,138
FLT1000-20251220-1,2025-12-20,American,ORD,Chicago,LAS,Las Vegas,19:49,22:14,218,1,Economy,708.62,180,94
FLT1000-20251220-2,2025-12-20,American,ORD,Chicago,LAS,Las Vegas,11:53,14:09,218,1,Economy,909.56,220,145
FLT1000-20251221-0,2025-12-21,American,ORD,Chicago,LAS,Las Vegas,11:38,14:56,218,1,Economy,928.14,250,138
FLT1000-20251221-1,2025-12-21,American,ORD,Chicago,LAS,Las Vegas,22:05,01:12,218,1,Economy,923.87,150,43
FLT1000-20251222-0,2025-12-22,American,ORD,Chicago,LAS,Las Vegas,18:56,21:09,218,1,Economy,629.86,180,62
FLT1000-20251222-1,2025-12-22,American,ORD,Chicago,LAS,Las Vegas,07:56,10:15,218,1,Economy,595.54,180,53
FLT1000-20251222-2,2025-12-22,American,ORD,Chicago,LAS,Las Vegas,21:48,00:27,218,1,Economy,787.41,180,78
FLT1000-20251222-3,2025-12-22,American,ORD,Chicago,LAS,Las Vegas,18:49,21:30,218,1,Economy,782.68,250,70
FLT1000-20251222-4,2025-12-22,American,ORD,Chicago,LAS,Las Vegas,16:14,19:35,218,1,Economy,850.92,220,73
FLT1000-20251223-0,2025-12-23,American,ORD,Chicago,LAS,Las Vegas,06:30,09:03,218,1,Economy,603.0,150,91
FLT1000-20251223-1,2025-12-23,American,ORD,Chicago,LAS,Las Vegas,13:11,16:47,218,1,Economy,812.52,150,30
FLT1000-20251223-2,2025-12-23,American,ORD,Chicago,LAS,Las Vegas,18:38,21:26,218,1,Economy,711.8,150,110
FLT1000-20251223-3,2025-12-23,American,ORD,Chicago,LAS,Las Vegas,10:39,13:55,218,1,Economy,856.37,220,96
